sample-id	date-collected	tank-id	mass-g	length-mm	stage	dissector	treatment	age-days	sample-type	dna-ng-ul	days-exposed
C100	5/10/2020	CL-579	0.666	17.21	59	KK	Control	76	Gut	188.754	0
C101	5/10/2020	CL-580	0.211	11.2	54	KK	Control	76	Gut	132.484	0
C102	5/10/2020	CL-582	0.329	14.04	66	KK	Control	76	Gut	123.213	0
C103	5/10/2020	CL-565	0.182	10.58	51	KK	Control	76	Gut	98.368	0
C104	5/10/2020	CL-566	0.611	16.07	60	KK	Control	76	Gut	131.021	0
C105-2	5/13/2020	CL-569	0.565	16.13	63	KK	Control	79	Gut	80.842	0
C106	5/13/2020	CL-570	0.61	15.7	57	KK	Control	79	Gut	60.218	0
C107	5/13/2020	CL-576	0.849	17.24	58	KK	Control	79	Gut	178.102	0
C108	5/13/2020	CL-579	0.153	9.88	52	KK	Control	79	Gut	81.104	0
C109	5/13/2020	CL-582	0.249	13.14	66	KK	Control	79	Gut	98.963	0
C10	3/17/2020	CL-578	0.04	6.33	50	JA	Control	22	Gut	16.737	0
C110	7/9/2020	CL-491	0.481	14.93	66	KK	Control	136	Gut	178.363	0
C111	7/9/2020	CL-601	0.933	18.55	66	KK	Control	136	Gut	264.774	0
C112	7/9/2020	CL-602	1.538	22.77	66	KK	Control	136	Gut	294.189	0
C113	7/9/2020	CL-604	1.046	20.08	66	KK	Control	136	Gut	250.935	0
C114	7/9/2020	CL-489	0.663	17.46	66	KK	Control	136	Gut	221.899	0
C115	7/9/2020	CL-490	0.3	14.25	66	KK	Control	136	Gut	92.774	0
C116	7/9/2020	CL-569	0.415	15.49	66	KK	Control	136	Gut	201.413	0
C117	7/9/2020	CL-576	0.863	19.56	66	KK	Control	136	Gut	258.652	0
C118	7/9/2020	CL-608	1.096	19.9	66	KK	Control	136	Gut	313.453	0
C119	7/9/2020	CL-606	1.068	20.86	66	KK	Control	136	Gut	205.137	0
C11	3/17/2020	CL-579	0.006	3.15	47	LC	Control	22	Gut	8.414	0
C120	7/9/2020	CL-605	0.923	19.12	66	KK	Control	136	Gut	294.059	0
C121	7/9/2020	CL-600	1.503	24.14	66	KK	Control	136	Gut	401.962	0
C122	7/9/2020	CL-599	1.212	22.88	66	KK	Control	136	Gut	262.773	0
C123	7/9/2020	CL-598	2	26.93	66	KK	Control	136	Gut	237.932	0
C124	7/9/2020	CL-565	2.578	29.38	66	KK	Control	136	Gut	374.198	0
C12	3/17/2020	CL-580	0.015	4.04	48	JA	Control	22	Gut	12.897	0
C13	3/17/2020	CL-582	0.015	4.11	48	LC	Control	22	Gut	28.892	0
C14	3/20/2020	CL-557	0.012	3.74	49	JA	Control	25	Gut	9.599	0
C15	3/20/2020	CL-565	0.042	6.29	48	LC	Control	25	Gut	23	0
C16	3/20/2020	CL-566	0.049	6.38	49	JA	Control	25	Gut	14.657	0
C17	3/20/2020	CL-567	0.027	4.87	49	LC	Control	25	Gut	10.213	0
C18	3/20/2020	CL-568	0.018	4.7	48	JA	Control	25	Gut	8.573	0
C19	3/23/2020	CL-569	0.031	5.81	49	KK	Control	28	Gut	26.101	0
C1	3/11/2020	CL-572	0.015	4.29	47	KK	Control	16	Gut	5.825	0
C21	3/23/2020	CL-571	0.015	4.28	48	KK	Control	28	Gut	14.783	0
C22	3/23/2020	CL-572	0.044	5.81	49	KK	Control	28	Gut	25.638	0
C23	3/23/2020	CL-573	0.013	3.87	47	KK	Control	28	Gut	4.706	0
C24	3/26/2020	CL-574	0.019	4.66	47	KK	Control	31	Gut	8.08	0
C25	3/26/2020	CL-575	0.012	4.12	47	KK	Control	31	Gut	3.252	0
C26	3/26/2020	CL-576	0.022	4.88	48	KK	Control	31	Gut	6.719	0
C27-2	3/26/2020	CL-577	0.022	5.03	49	KK	Control	31	Gut	3.67	0
C28	3/26/2020	CL-578	0.017	5.08	47	KK	Control	31	Gut	20.468	0
C29	3/29/2020	CL-579	0.084	8.37	50	KK	Control	34	Gut	55.728	0
C2	3/11/2020	CL-569	0.005	2.8	46	KK	Control	16	Gut	22.295	0
C30	3/29/2020	CL-580	0.068	7.69	49	KK	Control	34	Gut	35.271	0
C31-2	3/29/2020	CL-565	0.033	6.16	49	KK	Control	34	Gut	14.477	0
C32	3/29/2020	CL-566	0.163	10.81	51	KK	Control	34	Gut	103.07	0
C33	3/29/2020	CL-567	0.026	5.51	50	KK	Control	34	Gut	9.252	0
C34	4/1/2020	CL-568	0.036	6.51	49	KK	Control	37	Gut	15.872	0
C35	4/1/2020	CL-569	0.042	6.56	49	KK	Control	37	Gut	26.456	0
C36	4/1/2020	CL-570	0.082	8.05	50	KK	Control	37	Gut	55.18	0
C37	4/1/2020	CL-571	0.086	8.08	51	KK	Control	37	Gut	81.505	0
C38	4/1/2020	CL-572	0.126	9.01	51	KK	Control	37	Gut	82.155	0
C39	4/4/2020	CL-573	0.017	4.32	48	KK	Control	40	Gut	6.306	0
C3	3/11/2020	CL-579	0.013	4.11	46	KK	Control	16	Gut	9.198	0
C40	4/4/2020	CL-574	0.069	7.85	50	KK	Control	40	Gut	27.115	0
C41	4/4/2020	CL-575	0.102	8.15	51	KK	Control	40	Gut	45.534	0
C42	4/4/2020	CL-576	0.197	10.71	53	KK	Control	40	Gut	93.692	0
C43	4/4/2020	CL-577	0.038	6.22	49	KK	Control	40	Gut	26.566	0
C44	4/4/2020	CL-578	0.018	4.57	48	KK	Control	40	Gut	10.445	0
C45	4/7/2020	CL-579	0.07	7.3	50	KK	Control	43	Gut	40.589	0
C46	4/7/2020	CL-580	0.07	7.85	48	KK	Control	43	Gut	35.46	0
C47-1	4/7/2020	CL-582	0.046	6.62	50	KK	Control	43	Gut	28.374	0
C48	4/7/2020	CL-565	0.059	6.57	49	KK	Control	43	Gut	25.955	0
C49	4/7/2020	CL-567	0.049	6.29	50	KK	Control	43	Gut	48.846	0
C4	3/11/2020	CL-580	0.013	4.26	47	LC	Control	16	Gut	167.429	0
C50	4/10/2020	CL-568	0.09	8.55	50	KK	Control	46	Gut	50.075	0
C51	4/10/2020	CL-569	0.094	7.73	50	KK	Control	46	Gut	59.915	0
C52	4/10/2020	CL-570	0.09	8.55	51	KK	Control	46	Gut	57.578	0
C53	4/10/2020	CL-571	0.538	15.1	54	KK	Control	46	Gut	159.582	0
C54	4/10/2020	CL-572	0.117	8.74	51	KK	Control	46	Gut	48.077	0
C55	4/13/2020	CL-573	0.04	5.94	47	KK	Control	49	Gut	20.155	0
C56	4/13/2020	CL-574	0.078	8.09	48	KK	Control	49	Gut	26.876	0
C57	4/13/2020	CL-575	0.266	11.37	54	KK	Control	49	Gut	40.653	0
C58	4/13/2020	CL-576	0.626	16.2	56	KK	Control	49	Gut	172.663	0
C59	4/13/2020	CL-577	0.077	7.89	49	KK	Control	49	Gut	64.377	0
C5	3/11/2020	CL-576	0.007	3.34	47	JA	Control	16	Gut	7.938	0
C60	4/16/2020	CL-578	0.188	10.55	53	KK	Control	52	Gut	95.788	0
C61	4/16/2020	CL-579	0.757	17.69	60	KK	Control	52	Gut	105.09	0
C62	4/16/2020	CL-580	0.1	8.21	51	KK	Control	52	Gut	37.043	0
C63	4/16/2020	CL-582	0.249	11.37	53	KK	Control	52	Gut	163.421	0
C64	4/16/2020	CL-565	0.683	16.09	54	KK	Control	52	Gut	191.802	0
C65	4/19/2020	CL-566	0.49	14.75	54	KK	Control	55	Gut	235.414	0
C66	4/19/2020	CL-569	0.13	8.6	51	KK	Control	55	Gut	85.203	0
C67	4/19/2020	CL-570	0.179	10.01	52	KK	Control	55	Gut	91.114	0
C68	4/19/2020	CL-572	0.851	17.17	57	KK	Control	55	Gut	263.953	0
C69	4/19/2020	CL-573	0.345	12.49	54	KK	Control	55	Gut	185.957	0
C6	3/14/2020	CL-573	0.006	2.44	47	LC	Control	19	Gut	4.751	0
C70	4/22/2020	CL-576	0.585	14.83	56	KK	Control	58	Gut	298.151	0
C71	4/22/2020	CL-579	0.062	7.21	48	KK	Control	58	Gut	38.745	0
C72	4/22/2020	CL-580	0.308	12.31	54	KK	Control	58	Gut	223.57	0
C73	4/22/2020	CL-582	0.214	10.37	53	KK	Control	58	Gut	87.229	0
C74	4/22/2020	CL-565	0.946	17.42	57	KK	Control	58	Gut	168.648	0
C75-2	4/25/2020	CL-566	0.564	15.23	62	KK	Control	61	Gut	29.46	0
C76	4/25/2020	CL-569	0.405	14.6	56	KK	Control	61	Gut	161.759	0
C77	4/25/2020	CL-570	0.148	9.34	51	KK	Control	61	Gut	90.528	0
C78	4/25/2020	CL-572	0.062	7.29	50	KK	Control	61	Gut	34.804	0
C79	4/25/2020	CL-573	0.273	12.69	53	KK	Control	61	Gut	136.988	0
C80-2	4/28/2020	CL-576	0.687	16.05	57	KK	Control	64	Gut	175.511	0
C81	4/28/2020	CL-579	0.217	10.9	51	KK	Control	64	Gut	111.012	0
C82	4/28/2020	CL-580	0.937	16.67	59	KK	Control	64	Gut	96.972	0
C83	4/28/2020	CL-582	0.115	8.68	51	KK	Control	64	Gut	74.433	0
C84	4/28/2020	CL-565	0.085	8.23	50	KK	Control	64	Gut	62.448	0
C85	5/1/2020	CL-566	0.552	15.32	57	KK	Control	67	Gut	78.158	0
C86	5/1/2020	CL-569	0.148	9.64	51	KK	Control	67	Gut	92.6	0
C87	5/1/2020	CL-570	0.231	11.75	54	KK	Control	67	Gut	151.98	0
C88	5/1/2020	CL-572	0.498	15.11	57	KK	Control	67	Gut	90.765	0
C89	5/1/2020	CL-573	0.279	12.16	52	KK	Control	67	Gut	189.702	0
C8	3/14/2020	CL-576	0.023	4.03	47	LC	Control	19	Gut	37.573	0
C90	5/4/2020	CL-576	0.759	16.39	58	KK	Control	70	Gut	87.11	0
C91	5/4/2020	CL-579	0.118	9.22	51	KK	Control	70	Gut	70.775	0
C92-1	5/4/2020	CL-580	0.464	14.03	64	KK	Control	70	Gut	17.315	0
C93	5/4/2020	CL-582	0.302	12.49	54	KK	Control	70	Gut	29.971	0
C94	5/4/2020	CL-565	0.163	9.75	51	KK	Control	70	Gut	57.112	0
C95	5/7/2020	CL-566	0.654	15.73	57	KK	Control	73	Gut	308.427	0
C96	5/7/2020	CL-569	0.158	9.78	51	KK	Control	73	Gut	81.417	0
C97	5/7/2020	CL-570	0.407	14.07	66	KK	Control	73	Gut	178.525	0
C98	5/7/2020	CL-573	0.693	15.77	57	KK	Control	73	Gut	144.777	0
C99	5/7/2020	CL-576	0.394	13.58	55	KK	Control	73	Gut	154.742	0
C9	3/14/2020	CL-577	0.012	3.65	47	LC	Control	19	Gut	10.743	0
KC10									Blank	19.53	
KC11									Blank	18.789	
KC12									Blank	35.535	
KC1									Blank	0.8	
KC2									Blank	1.654	
KC3									Blank	6.225	
KC4									Blank	10.154	
KC5									Blank	4.827	
KC6									Blank	7.581	
KC7									Blank	28.594	
KC8									Blank	6.686	
KC9									Blank	6.357	
L100	5/10/2020	LL-553	0.325	13.28	59	KK	Thyroxine	76	Gut	142.894	60
L101	5/10/2020	LL-550	0.247	11.86	62	KK	Thyroxine	76	Gut	50.021	60
L102	5/10/2020	LL-555	0.286	11.36	60	KK	Thyroxine	76	Gut	129.543	60
L103	5/10/2020	LL-590	0.402	13.81	60	KK	Thyroxine	76	Gut	147.141	60
L104	5/10/2020	LL-596	0.076	7.41	59	KK	Thyroxine	76	Gut	7.658	60
L105	5/13/2020	LL-555	0.448	15	60	KK	Thyroxine	79	Gut	225.658	63
L106	5/13/2020	LL-555	0.345	12.29	59	KK	Thyroxine	79	Gut	192.23	63
L107	5/13/2020	LL-555	0.241	12.18	60	KK	Thyroxine	79	Gut	146.02	63
L108	5/13/2020	LL-596	0.279	13.03	60	KK	Thyroxine	79	Gut	112.814	63
L109	5/13/2020	LL-596	0.318	13.36	59	KK	Thyroxine	79	Gut	119.65	63
L10	3/17/2020	LL-551	0.025	5.56	49	JA	Thyroxine	22	Gut	17.46	6
L11	3/17/2020	LL-552	0.024	4.62	50	LC	Thyroxine	22	Gut	9.303	6
L12	3/17/2020	LL-553	0.04	5.67	49	JA	Thyroxine	22	Gut	10.181	6
L13	3/17/2020	LL-554	0.041	5.99	51	LC	Thyroxine	22	Gut	17.733	6
L14	3/20/2020	LL-555	0.044	5.85	52	LC	Thyroxine	25	Gut	13.241	9
L15	3/20/2020	LL-556	0.021	4.76	51	LC	Thyroxine	25	Gut	11.946	9
L16	3/20/2020	LL-590	0.019	4.8	50	LC	Thyroxine	25	Gut	12.277	9
L17	3/20/2020	LL-591	0.029	5.72	50	JA	Thyroxine	25	Gut	20.361	9
L18	3/20/2020	LL-592	0.044	5.53	53	LC	Thyroxine	25	Gut	14.04	9
L19	3/23/2020	LL-593	0.031	5.81	54	KK	Thyroxine	28	Gut	6.785	12
L1-2	3/11/2020	LL-555	0.012	3.84	47	LC	Thyroxine	16	Gut	9.764	0
L20	3/23/2020	LL-594	0.03	5.51	53	KK	Thyroxine	28	Gut	17.573	12
L21	3/23/2020	LL-595	0.054	6.33	54	KK	Thyroxine	28	Gut	9.668	12
L22	3/23/2020	LL-596	0.015	4.42	50	KK	Thyroxine	28	Gut	22.531	12
L23	3/23/2020	LL-597	0.015	4.15	49	KK	Thyroxine	28	Gut	22.108	12
L24	3/26/2020	LL-549	0.034	6.16	56	KK	Thyroxine	31	Gut	12.292	15
L25	3/26/2020	LL-550	0.027	5.43	52	KK	Thyroxine	31	Gut	16.945	15
L26	3/26/2020	LL-551	0.049	6.78	55	KK	Thyroxine	31	Gut	26.155	15
L27	3/26/2020	LL-552	0.023	5.23	53	KK	Thyroxine	31	Gut	14.145	15
L28	3/26/2020	LL-553	0.014	4.41	53	KK	Thyroxine	31	Gut	9.69	15
L29	3/29/2020	LL-554	0.064	7.36	55	KK	Thyroxine	34	Gut	36.203	18
L2	3/11/2020	LL-552	0.007	3.77	46	JA	Thyroxine	16	Gut	10.176	0
L30	3/29/2020	LL-555	0.037	6.41	53	KK	Thyroxine	34	Gut	23.285	18
L31	3/29/2020	LL-556	0.192	10.48	58	KK	Thyroxine	34	Gut	115.161	18
